iter	RMSE
0	0.5050296022
1	0.4749561232
2	0.4484471386
3	0.4244135713
4	0.4040596547
5	0.3867140056
6	0.3720216305
7	0.3570919597
8	0.3447468921
9	0.3335723698
10	0.324378205
11	0.3164727768
12	0.3083680008
13	0.3021700707
14	0.2964238421
15	0.2912016517
16	0.2863192639
17	0.2823437596
18	0.2787464793
19	0.2736637144
20	0.2697204878
21	0.2658637836
22	0.2628615105
23	0.259573888
24	0.2572169717
25	0.2541916213
26	0.2518143768
27	0.2495169996
28	0.2474701582
29	0.245746132
30	0.2436010247
31	0.2418598412
32	0.2397712058
33	0.238223192
34	0.2361252624
35	0.2346295335
36	0.2326177197
37	0.23086983
38	0.2289510713
39	0.227569263
40	0.2254774264
41	0.2243905647
42	0.2230852144
43	0.2219650972
44	0.2212502568
45	0.2203344326
46	0.2192769736
47	0.2182594726
48	0.2169956282
49	0.2159625015
50	0.2148100894
51	0.2140599025
52	0.2132146636
53	0.2126366597
54	0.2106210542
55	0.2095901665
56	0.208703765
57	0.2083246582
58	0.2076460556
59	0.2069481242
60	0.2061506175
61	0.2054910436
62	0.2048227736
63	0.2040500146
64	0.2032789229
65	0.2015640836
66	0.2010349682
67	0.2006628795
68	0.2000607971
69	0.1992968181
70	0.1986430277
71	0.1978605381
72	0.1972049083
73	0.1960196159
74	0.1951884893
75	0.1944954326
76	0.1937542247
77	0.1930677939
78	0.1928307006
79	0.1921302577
80	0.1915354631
81	0.1909069397
82	0.1904398124
83	0.1897029859
84	0.1887189455
85	0.188265151
86	0.1878704811
87	0.1874831291
88	0.1870487663
89	0.1864773561
90	0.1862326381
91	0.1856568963
92	0.1852177393
93	0.1847168675
94	0.1841712094
95	0.1840411257
96	0.1837097926
97	0.1828272617
98	0.1823046221
99	0.1818535664
100	0.1815144657
101	0.1810818573
102	0.1806231625
103	0.1803714579
104	0.180176565
105	0.1797079298
106	0.1792873557
107	0.1788610333
108	0.1785234657
109	0.1782719443
110	0.177702066
111	0.1773306817
112	0.1769144855
113	0.1765994093
114	0.1759543973
115	0.1754292128
116	0.1749061159
117	0.1748104492
118	0.1740042379
119	0.1737217422
120	0.1734497005
121	0.1731491462
122	0.1727451421
123	0.172316467
124	0.1720404843
125	0.1716738583
126	0.1712138092
127	0.1710484846
128	0.1708521915
129	0.1705179943
130	0.1701813897
131	0.1699134573
132	0.1695974459
133	0.1694389601
134	0.1690134199
135	0.1686737326
136	0.1684843399
137	0.1680990882
138	0.1678373792
139	0.167439047
140	0.1671555666
