iter	Passed	Remaining
0	1	995
1	3	859
2	5	878
3	6	866
4	8	833
5	9	818
6	11	784
7	12	773
8	13	751
9	14	730
10	16	725
11	17	721
12	19	717
13	20	707
14	21	702
15	23	701
16	24	700
17	25	692
18	27	686
19	28	684
20	30	688
21	31	690
22	33	690
23	34	691
24	36	689
25	37	692
26	39	697
27	41	699
28	43	701
29	44	699
30	46	700
31	47	701
32	49	701
33	51	701
34	52	703
35	54	700
36	56	701
37	57	699
38	59	699
39	60	699
40	62	701
41	64	698
42	65	697
43	67	698
44	68	696
45	70	696
46	72	698
47	74	699
48	76	700
49	77	699
50	79	698
51	80	696
52	82	695
53	84	695
54	86	697
55	88	697
56	89	699
57	92	701
58	93	702
59	95	701
60	98	706
61	100	708
62	102	709
63	104	713
64	106	712
65	108	712
66	110	713
67	112	713
68	114	714
69	116	713
70	117	712
71	119	713
72	121	712
73	123	710
74	125	710
75	127	709
76	128	707
77	130	706
78	132	705
79	133	701
80	135	701
81	137	698
82	138	697
83	140	695
84	142	693
85	143	692
86	145	691
87	147	689
88	148	687
89	150	685
90	152	683
91	153	681
92	155	680
93	157	679
94	159	678
95	160	676
96	162	674
97	164	673
98	166	672
99	167	671
100	169	669
101	171	668
102	172	666
103	174	665
104	176	663
105	178	662
106	179	660
107	181	660
108	183	658
109	185	656
110	186	655
111	188	654
112	190	652
113	192	651
114	194	649
115	195	648
116	197	646
117	199	644
118	200	643
119	202	640
120	203	638
121	205	636
122	207	635
123	208	633
124	210	632
125	212	630
126	213	627
127	215	625
128	217	624
129	218	622
130	220	620
131	221	618
132	223	616
133	225	614
134	227	613
135	228	612
136	230	610
137	232	608
138	233	607
139	235	605
140	237	604
141	239	603
142	240	601
143	242	599
144	244	598
145	246	597
146	248	595
147	249	593
148	251	592
149	252	590
150	254	588
151	256	587
152	258	585
153	260	584
154	261	582
155	263	580
156	264	578
157	265	575
158	267	573
159	269	571
160	270	570
161	272	568
162	274	567
163	275	565
164	277	563
165	279	561
166	280	559
167	282	557
168	283	555
169	285	554
170	286	552
171	290	553
172	292	553
173	294	552
174	296	550
175	298	548
176	299	546
177	301	544
178	302	543
179	304	541
180	306	540
181	308	538
182	309	536
183	311	535
184	313	533
185	314	531
186	316	529
187	317	527
188	319	526
189	321	524
190	322	522
191	324	520
192	326	518
193	328	517
194	330	516
195	331	514
196	333	512
197	335	511
198	336	509
199	338	507
200	339	505
201	341	503
202	343	501
203	344	500
204	346	498
205	348	497
206	350	495
207	351	493
208	353	491
209	354	490
210	356	488
211	357	486
212	359	484
213	360	482
214	362	480
215	364	478
216	365	476
217	367	474
218	368	473
219	370	471
220	371	469
221	373	467
222	375	466
223	376	464
224	378	462
225	379	460
226	381	458
227	382	456
228	384	454
229	385	452
230	387	451
231	388	449
232	390	447
233	392	445
234	393	444
235	395	442
236	396	440
237	398	438
238	399	436
239	401	434
240	403	433
241	404	431
242	406	429
243	407	427
244	409	425
245	410	423
246	412	422
247	414	420
248	415	419
249	417	417
250	419	415
251	421	414
252	422	412
253	424	410
254	425	409
255	427	407
256	429	405
257	431	404
258	432	402
259	434	401
260	436	399
261	438	398
262	439	396
263	441	394
264	443	393
265	445	391
266	446	389
267	448	388
268	451	387
269	453	386
270	455	385
271	457	383
272	460	382
273	461	380
274	463	379
275	465	378
276	467	376
277	468	374
278	470	372
279	472	371
280	474	369
281	476	368
282	478	366
283	479	364
284	481	363
285	483	361
286	485	360
287	487	358
288	489	357
289	491	355
290	492	353
291	494	352
292	496	350
293	498	349
294	499	347
295	501	345
296	503	344
297	505	342
298	507	341
299	509	339
300	511	337
301	513	336
302	514	334
303	516	333
304	518	331
305	520	329
306	522	328
307	524	326
308	526	325
309	528	323
310	529	321
311	531	320
312	533	318
313	534	316
314	536	315
315	538	313
316	540	312
317	542	310
318	544	308
319	546	307
320	547	305
321	549	303
322	551	302
323	553	300
324	555	299
325	557	297
326	559	296
327	561	294
328	563	292
329	565	291
330	566	289
331	568	287
332	570	285
333	571	284
334	573	282
335	575	280
336	577	279
337	578	277
338	580	275
339	582	274
340	584	272
341	585	270
342	587	269
343	589	267
344	591	265
345	593	264
346	595	262
347	597	261
348	599	259
349	601	257
350	603	256
351	605	254
352	607	252
353	609	251
354	611	249
355	613	248
356	614	246
357	616	244
358	617	242
359	619	241
360	622	239
361	624	237
362	626	236
363	627	234
364	629	232
365	631	231
366	633	229
367	634	227
368	636	225
369	637	224
370	639	222
371	641	220
372	643	218
373	644	217
374	646	215
375	648	213
376	650	212
377	651	210
378	653	208
379	655	206
380	657	205
381	659	203
382	660	201
383	662	200
384	664	198
385	666	196
386	668	195
387	670	193
388	671	191
389	674	190
390	675	188
391	677	186
392	678	184
393	680	183
394	682	181
395	684	179
396	686	178
397	688	176
398	690	174
399	692	173
400	693	171
401	696	169
402	699	168
403	700	166
404	702	164
405	704	163
406	706	161
407	708	159
408	709	157
409	711	156
410	713	154
411	715	152
412	717	151
413	719	149
414	721	147
415	722	145
416	724	144
417	726	142
418	728	140
419	730	139
420	731	137
421	733	135
422	735	133
423	736	132
424	738	130
425	739	128
426	741	126
427	743	125
428	745	123
429	746	121
430	748	119
431	749	117
432	751	116
433	752	114
434	754	112
435	756	111
436	758	109
437	760	107
438	761	105
439	763	104
440	765	102
441	766	100
442	768	98
443	770	97
444	771	95
445	773	93
446	775	91
447	776	90
448	778	88
449	780	86
450	781	84
451	783	83
452	785	81
453	786	79
454	788	77
455	790	76
456	791	74
457	793	72
458	795	71
459	797	69
460	798	67
461	800	65
462	801	64
463	803	62
464	805	60
465	807	58
466	808	57
467	810	55
468	812	53
469	813	51
470	815	50
471	816	48
472	818	46
473	820	44
474	821	43
475	823	41
476	825	39
477	827	38
478	828	36
479	830	34
480	831	32
481	833	31
482	835	29
483	836	27
484	838	25
485	840	24
486	841	22
487	843	20
488	844	19
489	846	17
490	848	15
491	849	13
492	851	12
493	853	10
494	854	8
495	856	6
496	858	5
497	859	3
498	861	1
499	862	0
